LibrarySystem,LibraryType,LibraryTypeDetail,FacilityClosed,FacilityClosedNotes,FacilityReopened,FacilityReopenedNotes,Curbside,ByApptEntry,BookDropOpen,SuspendDates/Fines,eResources,PublicWifi,LibraryCardAccess,ePrograms,VirtualAssist,Printing,DeviceOnPrem,DeviceLendingHome,HotspotLending,Source,RestrictionProtocolNotes,KeywordsRestrictionProtocolNotes
Anacortes Public Library,city ,Skagit County,2020-03-17,closed until further notice,2021-06-01,"Did not specify day, only June 2021.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,https://www.anacorteswa.gov/1183/LIBRARY-UPDATES,"By appointment for computer use and browsing, up to 30 mins","Appointment
Browsing
Computer
Time limit"
Asotin County Library,regional,,2020-03-16,,2021-06-01,Followed the Governor's dates for reopening,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,https://asotincountylibrary.org/in-the-interest-of-limiting-the-spread-of-covid-19-asotin-county-library-is-canceling-all-programs-events-meeting-room-bookings-and-outreach-services-through-march-31-read-our-full-statement-here/,30 minutes. Public computers available for in-building use by appointment; laptops loaned for parking-lot use.,"Appointment
Computers
Laptop
Parking lot
Time limit"
Bellingham Public Library,city,"City library, and contract with Whatcom County Library System",2020-03-16,closed until further notice,2021-06-07,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,https://www.bellinghampubliclibrary.org/library-reopening-faqs,,
Burlington Public Library,city,Skagit County,2020-03-17,closed until further notice,2021-06-07,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,https://www.facebook.com/BurlingtonPublicLibraryWA/,3D Printing Requests also available.,"Appointment
3D printing"
Camas Public Library,city,,2020-03-16,closed until further notice,2021-03-15,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,https://www.cityofcamas.us/library,25% capacity. Library loaning wifi hotspots as of 10/1/2020.,"Capacity
Wifi"
Castle Rock Public Library,city,Cowlitz County,2020-03-16,,2021-06-01,Followed the Governor's dates for reopening,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,https://crplibrary.com/,status confirmed through direct communication between library staff and State Library,Communication
Cathlamet Public Library,rural,Wahkiakum County,2020-03-17,,2021-06-01,Followed the Governor's dates for reopening,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,https://www.cathlamet.lib.wa.us/,Library hoping to reopen in May.,Reopening
Central Skagit Library District,rural,"unincorporated area of Sedro-Woolley School District), election 11/2012)",2020-03-16,closed until further notice,2022-06-01,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,https://www.centralskagitlibrary.org/index.html,,
Cle Elum (Carpenter Memorial) Library,city,Kittakis County - Carpenter Memorial Library - City Library),2020-03-13,closed until further notice,2021-07-10,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,https://www.carpenter.lib.wa.us/,Library staff reachable by email or phone only.,Communication
Columbia County Rural Library District,rural,,2020-03-17,closed until 11-09-2020,2021-03-01,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,https://www.daytonmemoriallibrary.org/,"Public can't browse, but staff will pull requested items. Three laptop stations available. Meeting room available for reservations, at 50% capacity with masks and social distancing. Some information based on direct communication with State Library.","Appointment
Browsing
Capacity
Computer
Laptop
Masks
Reservation"
