LibrarySystem,FacilityClosed,FacilityReopened,Curbside,ByApptEntry,BookDropOpen,SuspendDates/Fines,eResources,PublicWifi,LibraryCardAccess,ePrograms,VirtualAssist,Printing,DeviceOnPrem,DeviceLendingHome,HotspotLending,Notes,Source,Facebook,OtherSocialMedia,LastWebsiteCheckDate
Anacortes Public Library,3/17/2020 closed until further notice,,true,true,true,true,true,true,true,true,,true,true,,true,"By appointment for computer use and browsing, up to 30 mins",https://www.anacorteswa.gov/1183/LIBRARY-UPDATES,https://www.facebook.com/AnacortesPublicLibrary/,https://www.youtube.com/channel/UC38maL3ZWnZGVUBzTmoG65w,04/14/2021 12:00:00 AM
Asotin County Library,2020-03-16T00:00:00.000,Yes (n.d.),true,true,true,true,true,true,true,true,true,,true,,true,30 minutes. Public computers available for in-building use by appointment; laptops loaned for parking-lot use.,https://asotincountylibrary.org/in-the-interest-of-limiting-the-spread-of-covid-19-asotin-county-library-is-canceling-all-programs-events-meeting-room-bookings-and-outreach-services-through-march-31-read-our-full-statement-here/,https://www.facebook.com/asotincountylibrary,,04/14/2021 12:00:00 AM
Bellingham Public Library,3/16/2020 closed until further notice,,true,,true,true,true,true,true,true,true,,,,,,https://www.bellinghampubliclibrary.org/library-reopening-faqs,https://www.facebook.com/bellinghampubliclibrarywa,https://twitter.com/BPLConnects,04/14/2021 12:00:00 AM
Burlington Public Library,3/17/2020 closed until further notice,,true,,true,true,true,true,true,true,,true,,,,3D Printing Requests also available.,,https://www.facebook.com/BurlingtonPublicLibraryWA/,https://www.youtube.com/channel/UCsUqVFXEfu_1P1b7KYfdbEQ,04/14/2021 12:00:00 AM
Camas Public Library,3/16/2020 closed until further notice,2021-03-15T00:00:00.000,true,,true,true,true,true,true,true,,true,true,,true,25% capacity. Library loaning wifi hotspots as of 10/1/2020.,https://www.cityofcamas.us/library/page/library-services-update,https://www.facebook.com/CamasPublicLibrary/,,04/14/2021 12:00:00 AM
Castle Rock Public Library,2020-03-16T00:00:00.000,Yes (n.d.),,,true,true,true,true,,,,,,,,status confirmed through direct communication between library staff and State Library,https://crplibrary.com/,,,04/14/2021 12:00:00 AM
Cathlamet Public Library,2020-03-17T00:00:00.000,,true,,true,true,true,true,true,,,true,,,true,Library hoping to reopen in May.,https://www.cathlamet.lib.wa.us/,https://www.facebook.com/Cathlamet-Public-Library-203899083002262/,,04/14/2021 12:00:00 AM
Central Skagit Library District,3/16/2020 closed until further notice,,true,,true,true,true,true,true,true,,true,,,,,https://www.centralskagitlibrary.org/index.html,https://www.facebook.com/CentralSkagitLibrary,,04/14/2021 12:00:00 AM
Cle Elum (Carpenter Memorial) Library,3/13/2020 closed until further notice,,true,,true,true,true,true,true,,true,,,,,Library staff reachable by email or phone only.,https://www.carpenter.lib.wa.us/,https://www.facebook.com/Carpenter-Memorial-Library-558606100865219/,,04/14/2021 12:00:00 AM
Columbia County Rural Library District,3/17/2020 closed until11/9/2020,2021-03-01T00:00:00.000,true,,true,true,true,true,true,,,,true,,,"Public can't browse, but staff will pull requested items. Three laptop stations available. Meeting room available for reservations, at 50% capacity with masks and social distancing. Some information based on direct communication with State Library.",https://www.daytonmemoriallibrary.org/,https://www.facebook.com/CCRLD/,,04/15/2021 12:00:00 AM
